kabupaten,kab_id,provinsi,prov_id,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_ha,norm_2001,norm_2002,norm_2003,norm_2004,norm_2005,norm_2006,norm_2007,norm_2008,norm_2009,norm_2010,norm_2011,norm_2012,norm_2013,norm_2014,norm_2015,norm_2016,norm_2017,norm_2018,norm_2019,norm_2020,norm_2021,norm_2022,norm_2023,norm_2024,kab_id_clean,cluster,cluster_name,total_deforestasi,pulau
ACEH BARAT,ID-1105,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2713279968262,251.1502799804685,77.20750835571276,352.0721154846155,541.4120070312538,93.15988931274396,24.19790438340129,14.708200909423828,251.00858629164657,74.2807080112353,52.15259880981452,3.4767262634277345,0.0891515869140625,9.895537322998049,3.476801928710937,4.100845935058592,0.8021646301269529,1859.4623542343784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1962855027533431,0.4638801443610586,0.1426039824625755,0.6502850156854605,1.0,0.1720683843411071,0.0446940667535,0.0271663737013774,0.463618432971245,0.1371981172315363,0.0963270081426249,0.0064215906154202,0.0001646649607992,0.0182772771835235,0.0064217303708785,0.0075743535086059,0.0014816158853319,1105,3,Moderate,1859.4623542343784,Sumatera
ACEH BARAT DAYA,ID-1112,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.4416927304014,126.03732343750023,99.09779428710895,251.5371987731941,498.0892015808135,97.94223721923804,37.99985790405273,115.96186061401386,129.25295994262677,11.061260943603529,0.0,0.0,0.0,5.2628703308105536,48.79424121704104,191.50649626464795,245.92595480957004,2009.9109500546228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040453241101442,0.2530416701215134,0.1989559178809674,0.505004320460826,1.0,0.1966359377163634,0.0762912702854236,0.2328134403355447,0.2594976151508795,0.022207389577003,0.0,0.0,0.0,0.0105661201128381,0.0979628569785894,0.3844823289821443,0.4937387801804598,1112,3,Moderate,2009.9109500546224,Sumatera
ACEH BESAR,ID-1106,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106,1,Zero,0.0,Sumatera
ACEH JAYA,ID-1114,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.32111844482394,150.26942580566404,0.0,0.0,0.0,0.0,98.80739990466616,190.8130827758797,18.553006962723103,58.29980889792058,0.4456828430175781,16.574649371337898,0.7130727966308594,63.245204608154246,0.0,0.0,4.27566063232422,723.3181130431424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6358113221582514,0.787521608160189,0.0,0.0,0.0,0.0,0.5178229839760033,1.0,0.097231315027359,0.3055336041417917,0.0023357038025587,0.0868632754642181,0.0037370225681454,0.3314510917599877,0.0,0.0,0.0224075863673677,1114,3,Moderate,723.3181130431425,Sumatera
ACEH SELATAN,ID-1101,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83980394897461,7.768892437744143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.608696386718751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4942537150237049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101,3,Moderate,11.608696386718753,Sumatera
ACEH SINGKIL,ID-1110,ACEH,ID-11,1.0718066955566408,17.95495119018553,664.6941299133346,548.9115886840732,1583.0993164795225,2302.5546835145124,269.917125677489,2039.829885324929,3594.618109753488,120.76278400268568,227.7584944966386,788.7140890811803,78.80647779332787,35.27966207275388,178.6316591491714,34.38762386474614,7.860638720703118,7.949636462402344,11.878677770996092,9.734958691406254,12.950073620605457,35.36701063232417,48.85770457763671,12.236369793701158,12633.82745796337,0.0002981698369149,0.0049949537452858,0.1849136986512645,0.1527037287200771,0.4404082069758693,0.6405561350917517,0.0750892354726381,0.5674677595904107,1.0,0.0335954419399971,0.0633609711915288,0.2194152661004839,0.0219234631850036,0.0098145786271502,0.0496941966281424,0.0095664192453268,0.0021867799250703,0.0022115385333513,0.003304572949979,0.0027082038742841,0.0036026284921525,0.0098388784434042,0.0135919040871318,0.003404080606087,1110,3,Moderate,12633.82745796337,Sumatera
ACEH TAMIANG,ID-1116,ACEH,ID-11,0.0,0.0,0.0,0.0,8.290049096679684,6.774685064697269,38.68646085205081,2.4067942321777345,9.806228106689463,21.037782879638684,284.2022938964837,402.9233319885231,670.5981593139636,56.61598948974613,2.406756225585938,2.495830596923828,0.0,39.95551912841785,52.44056461181635,38.97415093383787,10.778076239659928,19.520614227294928,53.66225919189446,91.01041832885764,1812.585964404939,0.0,0.0,0.0,0.0,0.0123621709686179,0.0101024510291348,0.0576894826129971,0.0035890260042466,0.0146231062082267,0.03137166809578,0.4238041663985907,0.60084169094756,1.0,0.0844261033279087,0.0035889693285888,0.003721797565739,0.0,0.0595819099314158,0.078199684689657,0.0581184877896313,0.0160723319770011,0.029109257095583,0.0800214829798997,0.1357152820430692,1116,3,Moderate,1812.585964404939,Sumatera
ACEH TENGAH,ID-1104,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104,1,Zero,0.0,Sumatera
ACEH TENGGARA,ID-1102,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1102,1,Zero,0.0,Sumatera
ACEH TIMUR,ID-1103,ACEH,ID-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.92359349975586,113.00677767944292,332.0451480529801,550.716759582515,340.79004234008744,656.433862506098,337.1883060058582,243.7971179016096,192.93071771850623,57.02922070922857,246.07119836425773,96.9820656555184,55.79944096069327,12.653556646728523,619.0221712707519,3876.389978894032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333980233988191,0.1721525718493737,0.5058318393041394,0.8389523926752013,0.519153660109851,1.0,0.5136668372325565,0.3713963154960563,0.2939073206582392,0.0868773291059444,0.3748606103664736,0.147740802531523,0.0850039038931738,0.0192762094850202,0.9430076762150604,1103,3,Moderate,3876.3899788940316,Sumatera
