year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2001,ACEH BARAT,ID-1105,ACEH,ID-11,0.0
2001,ACEH BARAT DAYA,ID-1112,ACEH,ID-11,0.0
2001,ACEH BESAR,ID-1106,ACEH,ID-11,0.0
2001,ACEH JAYA,ID-1114,ACEH,ID-11,0.0
2001,ACEH SELATAN,ID-1101,ACEH,ID-11,0.0
2001,ACEH SINGKIL,ID-1110,ACEH,ID-11,1.0718066955566408
2001,ACEH TAMIANG,ID-1116,ACEH,ID-11,0.0
2001,ACEH TENGAH,ID-1104,ACEH,ID-11,0.0
2001,ACEH TENGGARA,ID-1102,ACEH,ID-11,0.0
2001,ACEH TIMUR,ID-1103,ACEH,ID-11,0.0
2001,ACEH UTARA,ID-1108,ACEH,ID-11,0.0
2001,ADMINISTRASI KEPULAUAN SERIBU,ID-3101,DKI JAKARTA,ID-31,0.0
2001,AGAM,ID-1306,SUMATERA BARAT,ID-13,0.0
2001,ALOR,ID-5305,NUSA TENGGARA TIMUR,ID-53,0.0
2001,ASAHAN,ID-1209,SUMATERA UTARA,ID-12,0.0
2001,ASMAT,ID-9118,PAPUA SELATAN,ID-93,0.0
2001,BADUNG,ID-5103,BALI,ID-51,0.0
2001,BALANGAN,ID-6311,KALIMANTAN SELATAN,ID-63,0.0
2001,BANDUNG,ID-3204,JAWA BARAT,ID-32,0.0
2001,BANDUNG BARAT,ID-3217,JAWA BARAT,ID-32,0.0
2001,BANGGAI,ID-7201,SULAWESI TENGAH,ID-72,0.1787503051757812
2001,BANGGAI KEPULAUAN,ID-7207,SULAWESI TENGAH,ID-72,0.0
2001,BANGGAI LAUT,ID-7211,SULAWESI TENGAH,ID-72,0.0
2001,BANGKA,ID-1901,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BANGKA BARAT,ID-1905,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BANGKALAN,ID-3526,JAWA TIMUR,ID-35,0.0
2001,BANGKA SELATAN,ID-1903,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BANGKA TENGAH,ID-1904,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BANGLI,ID-5106,BALI,ID-51,0.0
2001,BANJAR,ID-6303,KALIMANTAN SELATAN,ID-63,0.0
2001,BANJARNEGARA,ID-3304,JAWA TENGAH,ID-33,0.0
2001,BANTAENG,ID-7303,SULAWESI SELATAN,ID-73,0.0
2001,BANTUL,ID-3402,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0
2001,BANYUASIN,ID-1607,SUMATERA SELATAN,ID-16,0.0
2001,BANYUMAS,ID-3302,JAWA TENGAH,ID-33,0.0
2001,BANYUWANGI,ID-3510,JAWA TIMUR,ID-35,0.0
2001,BARITO KUALA,ID-6304,KALIMANTAN SELATAN,ID-63,0.0
2001,BARITO SELATAN,ID-6204,KALIMANTAN TENGAH,ID-62,0.0
2001,BARITO TIMUR,ID-6213,KALIMANTAN TENGAH,ID-62,640.489007104487
2001,BARITO UTARA,ID-6205,KALIMANTAN TENGAH,ID-62,241.86708493042096
2001,BARRU,ID-7311,SULAWESI SELATAN,ID-73,0.0
2001,BATANG,ID-3325,JAWA TENGAH,ID-33,0.0
2001,BATANGHARI,ID-1504,JAMBI,ID-15,0.2681009948730469
2001,BATU BARA,ID-1219,SUMATERA UTARA,ID-12,0.0
2001,BEKASI,ID-3216,JAWA BARAT,ID-32,0.0
2001,BELITUNG,ID-1902,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BELITUNG TIMUR,ID-1906,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2001,BELU,ID-5304,NUSA TENGGARA TIMUR,ID-53,0.0
2001,BENER MERIAH,ID-1117,ACEH,ID-11,0.0
2001,BENGKALIS,ID-1403,RIAU,ID-14,10.90455092773438
2001,BENGKAYANG,ID-6107,KALIMANTAN BARAT,ID-61,7.507611608886721
2001,BENGKULU SELATAN,ID-1701,BENGKULU,ID-17,0.0
2001,BENGKULU TENGAH,ID-1709,BENGKULU,ID-17,0.0
2001,BENGKULU UTARA,ID-1703,BENGKULU,ID-17,259.2342307495105
2001,BERAU,ID-6403,KALIMANTAN TIMUR,ID-64,5.272486541748052
2001,BIAK NUMFOR,ID-9106,PAPUA,ID-91,0.0
2001,BIMA,ID-5206,NUSA TENGGARA BARAT,ID-52,0.0
2001,BINTAN,ID-2101,KEPULAUAN RIAU,ID-21,0.0
2001,BIREUEN,ID-1111,ACEH,ID-11,0.0
2001,BLITAR,ID-3505,JAWA TIMUR,ID-35,0.0
2001,BLORA,ID-3316,JAWA TENGAH,ID-33,0.0
2001,BOALEMO,ID-7502,GORONTALO,ID-75,0.0
2001,BOGOR,ID-3201,JAWA BARAT,ID-32,0.0
2001,BOJONEGORO,ID-3522,JAWA TIMUR,ID-35,0.0
2001,BOLAANG MONGONDOW,ID-7101,SULAWESI UTARA,ID-71,0.0
2001,BOLAANG MONGONDOW SELATAN,ID-7111,SULAWESI UTARA,ID-71,0.0
2001,BOLAANG MONGONDOW TIMUR,ID-7110,SULAWESI UTARA,ID-71,0.0
2001,BOLAANG MONGONDOW UTARA,ID-7108,SULAWESI UTARA,ID-71,0.0
2001,BOMBANA,ID-7406,SULAWESI TENGGARA,ID-74,0.0
2001,BONDOWOSO,ID-3511,JAWA TIMUR,ID-35,0.0
2001,BONE,ID-7308,SULAWESI SELATAN,ID-73,0.0
2001,BONE BOLANGO,ID-7503,GORONTALO,ID-75,0.0
2001,BOVEN DIGOEL,ID-9116,PAPUA SELATAN,ID-93,1682.051544000236
2001,BOYOLALI,ID-3309,JAWA TENGAH,ID-33,0.0
2001,BREBES,ID-3329,JAWA TENGAH,ID-33,0.0
2001,BULELENG,ID-5108,BALI,ID-51,0.0
2001,BULUKUMBA,ID-7302,SULAWESI SELATAN,ID-73,0.0
2001,BULUNGAN,ID-6501,KALIMANTAN UTARA,ID-65,0.178519482421875
2001,BUNGO,ID-1508,JAMBI,ID-15,335.37951566664793
2001,BUOL,ID-7205,SULAWESI TENGAH,ID-72,127.9999525878908
2001,BURU,ID-8104,MALUKU,ID-81,0.0
2001,BURU SELATAN,ID-8109,MALUKU,ID-81,0.0
2001,BUTON,ID-7404,SULAWESI TENGGARA,ID-74,0.0
2001,BUTON SELATAN,ID-7415,SULAWESI TENGGARA,ID-74,0.0
2001,BUTON TENGAH,ID-7414,SULAWESI TENGGARA,ID-74,0.0
2001,BUTON UTARA,ID-7410,SULAWESI TENGGARA,ID-74,0.0
2001,CIAMIS,ID-3207,JAWA BARAT,ID-32,0.0
2001,CIANJUR,ID-3203,JAWA BARAT,ID-32,0.0
2001,CILACAP,ID-3301,JAWA TENGAH,ID-33,0.0
2001,CIREBON,ID-3209,JAWA BARAT,ID-32,0.0
2001,DAIRI,ID-1211,SUMATERA UTARA,ID-12,0.0
2001,DEIYAI,ID-9128,PAPUA TENGAH,ID-94,0.0
2001,DELI SERDANG,ID-1207,SUMATERA UTARA,ID-12,0.0
2001,DEMAK,ID-3321,JAWA TENGAH,ID-33,0.0
2001,DHARMASRAYA,ID-1310,SUMATERA BARAT,ID-13,772.1255398778535
2001,DOGIYAI,ID-9126,PAPUA TENGAH,ID-94,0.0
2001,DOMPU,ID-5205,NUSA TENGGARA BARAT,ID-52,0.0
2001,DONGGALA,ID-7203,SULAWESI TENGAH,ID-72,0.0
2001,EMPAT LAWANG,ID-1611,SUMATERA SELATAN,ID-16,0.0
2001,ENDE,ID-5308,NUSA TENGGARA TIMUR,ID-53,0.0
2001,ENREKANG,ID-7316,SULAWESI SELATAN,ID-73,0.0
2001,FAK FAK,ID-9203,PAPUA BARAT,ID-92,0.0
2001,FLORES TIMUR,ID-5306,NUSA TENGGARA TIMUR,ID-53,0.0
2001,GARUT,ID-3205,JAWA BARAT,ID-32,0.0
2001,GAYO LUES,ID-1113,ACEH,ID-11,0.0
2001,GIANYAR,ID-5104,BALI,ID-51,0.0
2001,GORONTALO,ID-7501,GORONTALO,ID-75,0.0
2001,GORONTALO UTARA,ID-7505,GORONTALO,ID-75,0.0
2001,GOWA,ID-7306,SULAWESI SELATAN,ID-73,0.0
2001,GRESIK,ID-3525,JAWA TIMUR,ID-35,0.0
2001,GROBOGAN,ID-3315,JAWA TENGAH,ID-33,0.0
2001,GUNUNGKIDUL,ID-3403,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0
2001,GUNUNG MAS,ID-6210,KALIMANTAN TENGAH,ID-62,0.0
2001,HALMAHERA BARAT,ID-8201,MALUKU UTARA,ID-82,0.0
2001,HALMAHERA SELATAN,ID-8204,MALUKU UTARA,ID-82,0.0
2001,HALMAHERA TENGAH,ID-8202,MALUKU UTARA,ID-82,0.0
2001,HALMAHERA TIMUR,ID-8206,MALUKU UTARA,ID-82,0.0
2001,HALMAHERA UTARA,ID-8203,MALUKU UTARA,ID-82,0.0
2001,HULU SUNGAI SELATAN,ID-6306,KALIMANTAN SELATAN,ID-63,0.0
2001,HULU SUNGAI TENGAH,ID-6307,KALIMANTAN SELATAN,ID-63,0.0
2001,HULU SUNGAI UTARA,ID-6308,KALIMANTAN SELATAN,ID-63,0.0
2001,HUMBANG HASUNDUTAN,ID-1216,SUMATERA UTARA,ID-12,0.0
2001,INDRAGIRI HILIR,ID-1404,RIAU,ID-14,1403.1800876343236
2001,INDRAGIRI HULU,ID-1402,RIAU,ID-14,2586.632106624378
2001,INDRAMAYU,ID-3212,JAWA BARAT,ID-32,0.0
2001,INTAN JAYA,ID-9127,PAPUA TENGAH,ID-94,0.0
2001,JAYAPURA,ID-9103,PAPUA,ID-91,124.18775664062484
2001,JAYAWIJAYA,ID-9102,PAPUA PEGUNUNGAN,ID-95,0.0
2001,JEMBER,ID-3509,JAWA TIMUR,ID-35,0.0
2001,JEMBRANA,ID-5101,BALI,ID-51,0.0
2001,JENEPONTO,ID-7304,SULAWESI SELATAN,ID-73,0.0
2001,JEPARA,ID-3320,JAWA TENGAH,ID-33,0.0
2001,JOMBANG,ID-3517,JAWA TIMUR,ID-35,0.0
2001,KAIMANA,ID-9208,PAPUA BARAT,ID-92,0.0
2001,KAMPAR,ID-1401,RIAU,ID-14,1720.183939282236
2001,KAPUAS,ID-6203,KALIMANTAN TENGAH,ID-62,0.0
2001,KAPUAS HULU,ID-6106,KALIMANTAN BARAT,ID-61,64.81251682128922
2001,KARANGANYAR,ID-3313,JAWA TENGAH,ID-33,0.0
2001,KARANGASEM,ID-5107,BALI,ID-51,0.0
2001,KARAWANG,ID-3215,JAWA BARAT,ID-32,0.0
2001,KARIMUN,ID-2102,KEPULAUAN RIAU,ID-21,0.0
2001,KARO,ID-1206,SUMATERA UTARA,ID-12,0.0
2001,KATINGAN,ID-6206,KALIMANTAN TENGAH,ID-62,0.0
2001,KAUR,ID-1704,BENGKULU,ID-17,0.0
2001,KAYONG UTARA,ID-6111,KALIMANTAN BARAT,ID-61,6.703763409423832
2001,KEBUMEN,ID-3305,JAWA TENGAH,ID-33,0.0
2001,KEDIRI,ID-3506,JAWA TIMUR,ID-35,0.0
2001,KEEROM,ID-9111,PAPUA,ID-91,0.0
2001,KENDAL,ID-3324,JAWA TENGAH,ID-33,0.0
2001,KEPAHIANG,ID-1708,BENGKULU,ID-17,0.0
2001,KEPULAUAN ANAMBAS,ID-2105,KEPULAUAN RIAU,ID-21,0.0
2001,KEPULAUAN ARU,ID-8107,MALUKU,ID-81,0.0
2001,KEPULAUAN MENTAWAI,ID-1309,SUMATERA BARAT,ID-13,0.0
2001,KEPULAUAN MERANTI,ID-1410,RIAU,ID-14,0.0
2001,KEPULAUAN SANGIHE,ID-7103,SULAWESI UTARA,ID-71,0.0
2001,KEPULAUAN SELAYAR,ID-7301,SULAWESI SELATAN,ID-73,0.0
2001,KEPULAUAN SIAU TAGULANDANG BIARO,ID-7109,SULAWESI UTARA,ID-71,0.0
2001,KEPULAUAN SULA,ID-8205,MALUKU UTARA,ID-82,0.0
2001,KEPULAUAN TALAUD,ID-7104,SULAWESI UTARA,ID-71,0.0
2001,KEPULAUAN TANIMBAR,ID-8103,MALUKU,ID-81,0.0
2001,KEPULAUAN YAPEN,ID-9105,PAPUA,ID-91,0.0
