cluster,cluster_name,year,forecast_ha
0,High,2025,12539.76
0,High,2026,13399.85
0,High,2027,17063.29
0,High,2028,15346.49
0,High,2029,12539.76
0,High,2030,13399.85
1,Zero,2025,0.0
1,Zero,2026,0.0
1,Zero,2027,0.0
1,Zero,2028,0.0
1,Zero,2029,0.0
1,Zero,2030,0.0
2,Declining,2025,6404.0
2,Declining,2026,7660.74
2,Declining,2027,7285.61
2,Declining,2028,6087.64
2,Declining,2029,7522.87
2,Declining,2030,8006.21
3,Moderate,2025,10609.48
3,Moderate,2026,11875.44
3,Moderate,2027,11325.59
3,Moderate,2028,10681.12
3,Moderate,2029,11512.57
3,Moderate,2030,10747.38
