year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,annual_palm_deforestation_(industrial)_hectares
"2001","INDONESIA","ID","ACEH BARAT","ID-1105","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH BARAT DAYA","ID-1112","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH BESAR","ID-1106","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH JAYA","ID-1114","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH SELATAN","ID-1101","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH SINGKIL","ID-1110","ACEH","ID-11","1.0718066955566408"
"2001","INDONESIA","ID","ACEH TAMIANG","ID-1116","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH TENGAH","ID-1104","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH TENGGARA","ID-1102","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH TIMUR","ID-1103","ACEH","ID-11","0"
"2001","INDONESIA","ID","ACEH UTARA","ID-1108","ACEH","ID-11","0"
"2001","INDONESIA","ID","ADMINISTRASI KEPULAUAN SERIBU","ID-3101","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","AGAM","ID-1306","SUMATERA BARAT","ID-13","0"
"2001","INDONESIA","ID","ALOR","ID-5305","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","ASAHAN","ID-1209","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","ASMAT","ID-9118","PAPUA SELATAN","ID-93","0"
"2001","INDONESIA","ID","BADUNG","ID-5103","BALI","ID-51","0"
"2001","INDONESIA","ID","BALANGAN","ID-6311","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BANDUNG","ID-3204","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANDUNG BARAT","ID-3217","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BANGGAI","ID-7201","SULAWESI TENGAH","ID-72","0.17875030517578125"
"2001","INDONESIA","ID","BANGGAI KEPULAUAN","ID-7207","SULAWESI TENGAH","ID-72","0"
"2001","INDONESIA","ID","BANGGAI LAUT","ID-7211","SULAWESI TENGAH","ID-72","0"
"2001","INDONESIA","ID","BANGKA","ID-1901","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BANGKA BARAT","ID-1905","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BANGKALAN","ID-3526","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BANGKA SELATAN","ID-1903","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BANGKA TENGAH","ID-1904","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BANGLI","ID-5106","BALI","ID-51","0"
"2001","INDONESIA","ID","BANJAR","ID-6303","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BANJARNEGARA","ID-3304","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BANTAENG","ID-7303","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BANTUL","ID-3402","DAERAH ISTIMEWA YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","BANYUASIN","ID-1607","SUMATERA SELATAN","ID-16","0"
"2001","INDONESIA","ID","BANYUMAS","ID-3302","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BANYUWANGI","ID-3510","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BARITO KUALA","ID-6304","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","BARITO SELATAN","ID-6204","KALIMANTAN TENGAH","ID-62","0"
"2001","INDONESIA","ID","BARITO TIMUR","ID-6213","KALIMANTAN TENGAH","ID-62","640.489007104487"
"2001","INDONESIA","ID","BARITO UTARA","ID-6205","KALIMANTAN TENGAH","ID-62","241.86708493042096"
"2001","INDONESIA","ID","BARRU","ID-7311","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BATANG","ID-3325","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BATANGHARI","ID-1504","JAMBI","ID-15","0.2681009948730469"
"2001","INDONESIA","ID","BATU BARA","ID-1219","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","BEKASI","ID-3216","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BELITUNG","ID-1902","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BELITUNG TIMUR","ID-1906","KEPULAUAN BANGKA BELITUNG","ID-19","0"
"2001","INDONESIA","ID","BELU","ID-5304","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","BENER MERIAH","ID-1117","ACEH","ID-11","0"
"2001","INDONESIA","ID","BENGKALIS","ID-1403","RIAU","ID-14","10.90455092773438"
"2001","INDONESIA","ID","BENGKAYANG","ID-6107","KALIMANTAN BARAT","ID-61","7.507611608886721"
"2001","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","0"
"2001","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","0"
"2001","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","259.2342307495105"
"2001","INDONESIA","ID","BERAU","ID-6403","KALIMANTAN TIMUR","ID-64","5.2724865417480515"
"2001","INDONESIA","ID","BIAK NUMFOR","ID-9106","PAPUA","ID-91","0"
"2001","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2001","INDONESIA","ID","BINTAN","ID-2101","KEPULAUAN RIAU","ID-21","0"
"2001","INDONESIA","ID","BIREUEN","ID-1111","ACEH","ID-11","0"
"2001","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BOALEMO","ID-7502","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7111","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7110","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7108","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","BONE","ID-7308","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BONE BOLANGO","ID-7503","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","BOVEN DIGOEL","ID-9116","PAPUA SELATAN","ID-93","1682.051544000236"
"2001","INDONESIA","ID","BOYOLALI","ID-3309","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BREBES","ID-3329","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","BULELENG","ID-5108","BALI","ID-51","0"
"2001","INDONESIA","ID","BULUKUMBA","ID-7302","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","BULUNGAN","ID-6501","KALIMANTAN UTARA","ID-65","0.178519482421875"
"2001","INDONESIA","ID","BUNGO","ID-1508","JAMBI","ID-15","335.37951566664793"
"2001","INDONESIA","ID","BUOL","ID-7205","SULAWESI TENGAH","ID-72","127.9999525878908"
"2001","INDONESIA","ID","BURU","ID-8104","MALUKU","ID-81","0"
"2001","INDONESIA","ID","BURU SELATAN","ID-8109","MALUKU","ID-81","0"
"2001","INDONESIA","ID","BUTON","ID-7404","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON SELATAN","ID-7415","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON TENGAH","ID-7414","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","BUTON UTARA","ID-7410","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","CIAMIS","ID-3207","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","CIANJUR","ID-3203","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","CILACAP","ID-3301","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","CIREBON","ID-3209","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","DAIRI","ID-1211","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","DEIYAI","ID-9128","PAPUA TENGAH","ID-94","0"
"2001","INDONESIA","ID","DELI SERDANG","ID-1207","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","DEMAK","ID-3321","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","DHARMASRAYA","ID-1310","SUMATERA BARAT","ID-13","772.1255398778535"
"2001","INDONESIA","ID","DOGIYAI","ID-9126","PAPUA TENGAH","ID-94","0"
"2001","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","0"
"2001","INDONESIA","ID","DONGGALA","ID-7203","SULAWESI TENGAH","ID-72","0"
"2001","INDONESIA","ID","EMPAT LAWANG","ID-1611","SUMATERA SELATAN","ID-16","0"
"2001","INDONESIA","ID","ENDE","ID-5308","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","ENREKANG","ID-7316","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","FAK FAK","ID-9203","PAPUA BARAT","ID-92","0"
"2001","INDONESIA","ID","FLORES TIMUR","ID-5306","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","GARUT","ID-3205","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","GAYO LUES","ID-1113","ACEH","ID-11","0"
"2001","INDONESIA","ID","GIANYAR","ID-5104","BALI","ID-51","0"
"2001","INDONESIA","ID","GORONTALO","ID-7501","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","GORONTALO UTARA","ID-7505","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","GOWA","ID-7306","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","GRESIK","ID-3525","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","GROBOGAN","ID-3315","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","GUNUNGKIDUL","ID-3403","DAERAH ISTIMEWA YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","GUNUNG MAS","ID-6210","KALIMANTAN TENGAH","ID-62","0"
"2001","INDONESIA","ID","HALMAHERA BARAT","ID-8201","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","HALMAHERA SELATAN","ID-8204","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","HALMAHERA TENGAH","ID-8202","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","HALMAHERA TIMUR","ID-8206","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","HALMAHERA UTARA","ID-8203","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","HULU SUNGAI SELATAN","ID-6306","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","HULU SUNGAI TENGAH","ID-6307","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","HULU SUNGAI UTARA","ID-6308","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","HUMBANG HASUNDUTAN","ID-1216","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","INDRAGIRI HILIR","ID-1404","RIAU","ID-14","1403.1800876343236"
"2001","INDONESIA","ID","INDRAGIRI HULU","ID-1402","RIAU","ID-14","2586.632106624378"
"2001","INDONESIA","ID","INDRAMAYU","ID-3212","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","INTAN JAYA","ID-9127","PAPUA TENGAH","ID-94","0"
"2001","INDONESIA","ID","JAYAPURA","ID-9103","PAPUA","ID-91","124.18775664062484"
"2001","INDONESIA","ID","JAYAWIJAYA","ID-9102","PAPUA PEGUNUNGAN","ID-95","0"
"2001","INDONESIA","ID","JEMBER","ID-3509","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","JEMBRANA","ID-5101","BALI","ID-51","0"
"2001","INDONESIA","ID","JENEPONTO","ID-7304","SULAWESI SELATAN","ID-73","0"
